No.,大項目,中項目,ページ,単語,品詞,意味,発音,例文,和訳
293,ＮＨ,２年,74-76,delivery,名詞,話しぶり,[デリバリー],The delivery of the package is delayed.,そのパッケージの配達は遅れています。
294,ＮＨ,２年,74-76,contact,名詞,接触,[コンタクト],Please contact me if you need any help.,助けが必要な場合は私に連絡してください。
295,ＮＨ,２年,74-76,comment,名詞,批評、コメント,[コメント],He left a comment on the blog post.,彼はブログ投稿にコメントを残しました。
296,ＮＨ,２年,74-76,data,名詞,資料、データ,[データ],The data shows an increase in sales.,データは売上の増加を示しています。
297,ＮＨ,２年,74-76,slide,名詞,スライド,[スライド],I will slide the window open for you.,私は窓をスライドして開けます。
298,ＮＨ,２年,74-76,spoke,動詞,speak の過去形,[スポーク],She spoke clearly during the presentation.,彼女はプレゼンテーション中に明確に話しました。
299,ＮＨ,２年,77,direction,名詞,方向、方角,[ダイレクション],The road is in the wrong direction.,道は間違った方向にあります。
300,ＮＨ,２年,77,goodbye,名詞,さようなら,[グッドバイ],"Goodbye, and have a great day!",さようなら、良い一日を！
301,ＮＨ,２年,77,Shall I[we] …?,,…しましょうか。,[シャル アイ[ウィ]],Shall I help you with your bags?,荷物を持つお手伝いをしましょうか？
302,ＮＨ,２年,80-83,field,名詞,競技場、フィールド,[フィールド],He works in the medical field.,彼は医療分野で働いています。
303,ＮＨ,２年,80-83,turf,名詞,芝、芝地,[ターフ],The grass on the turf was freshly cut.,芝生の草は刈りたてだった。
304,ＮＨ,２年,80-83,video,名詞,映像、動画,[ビデオ],I watched a video about space exploration.,私は宇宙探査に関するビデオを見ました。
305,ＮＨ,２年,80-83,artificial,形容詞,人工の、人工的な,[アーティフィシャル],The park has an artificial lake.,公園には人工の湖があります。
306,ＮＨ,２年,80-83,unique,形容詞,特有の、独特な,[ユニーク],Her necklace is unique and beautiful.,彼女のネックレスはユニークで美しいです。
307,ＮＨ,２年,80-83,almost,副詞,ほとんど,[オールモスト],I almost missed the bus this morning.,私は今朝バスに乗り遅れそうになりました。
308,ＮＨ,２年,80-83,clean up,,きれいにそうじする,[クリーン アップ],Please clean up your room before dinner.,夕食前に部屋を片付けてください。
309,ＮＨ,２年,80-83,belong to,,…に所属する,[ビロング トゥ],This book belongs to Sarah.,この本はサラのものです。
310,ＮＨ,２年,84-85,kindness,名詞,親切、親切な行為,[カインドネス],He showed kindness by helping the elderly.,彼は高齢者を助けて親切さを示しました。
311,ＮＨ,２年,84-85,herself,代名詞,彼女自身、自ら,[ハーセルフ],She did everything herself without any help.,彼女は自分一人で何もかもしました。
312,ＮＨ,２年,84-85,sell,動詞,…を売る,[セル],They decided to sell their old car.,彼らは古い車を売ることに決めました。
313,ＮＨ,２年,84-85,pay,動詞,（代金などを）払う,[ペイ],I will pay for the meal today.,今日の食事は私が払います。
314,ＮＨ,２年,84-85,wonder,動詞,思いをめぐらす,[ワンダー],I wonder what the weather will be like tomorrow.,明日の天気がどうなるか気になります。
315,ＮＨ,２年,84-85,hope,動詞,…を望む、…だとよいと思う,[ホープ],I hope you have a wonderful day!,素晴らしい一日をお過ごしください！
316,ＮＨ,２年,84-85,earn,動詞,…をかせぐ,[アーン],He works hard to earn a living.,彼は生計を立てるために一生懸命働いています。
317,ＮＨ,２年,84-85,knock,動詞,ノックする,[ノック],She knocked on the door before entering.,彼女は入る前にドアをノックしました。
318,ＮＨ,２年,84-85,reply,動詞,…と答える,[リプライ],I will reply to your email later.,後であなたのメールに返信します。
319,ＮＨ,２年,84-85,poor,形容詞,貧しい、かわいそうな,[プア],The poor family struggles to make ends meet.,その貧しい家族は生活費を稼ぐのに苦労しています。
320,ＮＨ,２年,84-85,rich,形容詞,金持ちの、裕福な,[リッチ],He is rich and owns many properties.,彼は裕福で多くの不動産を所有しています。
321,ＮＨ,２年,84-85,few,形容詞,少しの,[フュー],There are only a few apples left in the basket.,バスケットにはあと少しだけリンゴがあります。
322,ＮＨ,２年,84-85,well-off,形容詞,裕福な,[ウェルオフ],The well-off family donates to charity.,裕福な家族は慈善団体に寄付しています。
323,ＮＨ,２年,84-85,once,副詞,かって、以前、昔,[ワンス],"Once you finish your work, we can go.",あなたが仕事を終えたら、私たちは出かけられます。
324,ＮＨ,２年,84-85,away,副詞,はなれて、去って,[アウェイ],The ball flew away across the field.,ボールはフィールドの向こうに飛んでいきました。
325,ＮＨ,２年,84-85,a glass of,,コップ１杯（の量）の,[ア グラス オブ],Would you like a glass of juice?,ジュースを一杯いかがですか？
326,ＮＨ,２年,84-85,a few,,小数の、いくらかの,[ア フュー],I have a few friends coming over tonight.,今夜、少し友達が来ます。
327,ＮＨ,２年,84-85,be about to,,今にも…しようとしている,[ビー アバウト トゥ],I am about to leave the house.,私は今、家を出るところです。
328,ＮＨ,２年,84-85,with a smile,,にっこり笑って,[ウィズ ア スマイル],She greeted me with a smile.,彼女は笑顔で私を迎えました。
329,ＮＨ,２年,84-85,do well,,元気になる,[ドゥ ウェル],I am sure you will do well on the test.,テストでうまくいくことを確信しています。
330,ＮＨ,２年,86-87,operation,名詞,手術,[オペレーション],The operation was successful and she is recovering.,手術は成功し、彼女は回復しています。
331,ＮＨ,２年,86-87,envelope,名詞,封筒,[エンヴェロープ],Please place the letter in the envelope.,手紙を封筒に入れてください。
332,ＮＨ,２年,86-87,bill,名詞,請求書,[ビル],The bill for dinner was $50.,ディナーの請求書は50ドルでした。
333,ＮＨ,２年,86-87,send,動詞,（～に）…をおくる,[センド],I will send the invitation next week.,来週、招待状を送ります。
334,ＮＨ,２年,86-87,afraid,形容詞,こわがって,[アフレイド],He is afraid of spiders.,彼はクモが怖いです。
335,ＮＨ,２年,86-87,ill,形容詞,病気で、ぐあいが悪い,[イル],She is ill and needs to rest.,彼女は病気で、休まなければなりません。
336,ＮＨ,２年,86-87,alive,形容詞,生きて、生きた状態で,[アライブ],It's good to be alive after such a scary accident.,こんなに怖い事故の後、生きていることが良かったです。
337,ＮＨ,２年,86-87,paid,形容詞,支払い済みの,[ペイド],He already paid for the tickets.,彼はすでにチケットを支払い済みです。
338,ＮＨ,２年,86-87,inside,前置詞,内側に、内部に,[インサイド],The gift is inside the box.,ギフトは箱の中にあります。
339,ＮＨ,２年,86-87,sent,動詞,send の過去形,[セント],The email was sent this morning.,そのメールは今朝送信されました。
340,ＮＨ,２年,86-87,woke,動詞,wake の過去形,[ウォーク],I woke up early to get ready for the meeting.,私は会議の準備のために早く起きました。
341,ＮＨ,２年,86-87,here's,,here is の短縮形,[ヒアズ],Here's the information you asked for.,これがあなたが求めていた情報です。
342,ＮＨ,２年,86-87,go by,,（時間が）過ぎる、通り過ぎる,[ゴー バイ],We will go by bus to the concert.,私たちはバスでコンサートに行きます。
343,ＮＨ,２年,86-87,in front of,,…の前で[に],[イン フロント オブ],She stood in front of the mirror.,彼女は鏡の前に立っています。
344,ＮＨ,２年,86-87,right away,,すぐに,[ライト アウェイ],I will call you right away.,私はすぐにあなたに電話します。
345,ＮＨ,２年,86-87,be afraid to,,…するのがこわい,[ビー アフレイド トゥ],She is afraid to speak in front of a large crowd.,彼女は大勢の前で話すのを怖がっています。
346,ＮＨ,２年,86-87,in full,,全部,[イン フル],The document must be submitted in full by the deadline.,書類は締め切りまでに完全に提出しなければなりません。
347,ＮＨ,２年,89-90,heritage,名詞,（文化的な）遺産,[ヘリテージ],The castle is a part of our national heritage.,その城は私たちの国の遺産の一部です。
348,ＮＨ,２年,89-90,site,名詞,遺跡,[サイト],The ancient ruins are a popular tourist site.,その古代遺跡は観光地として人気があります。
349,ＮＨ,２年,89-90,selection,名詞,選択,[セレクション],The selection of speakers for the event was impressive.,そのイベントのスピーカーの選定は素晴らしかったです。
350,ＮＨ,２年,89-90,standard,名詞,基準,[スタンダード],We need to meet the standard of quality for the product.,私たちは製品の品質基準を満たさなければなりません。
351,ＮＨ,２年,89-90,conference,名詞,会議、評議会,[カンファレンス],The conference will be held next week in Tokyo.,その会議は来週東京で開催されます。
352,ＮＨ,２年,89-90,decide,動詞,…を決める,[ディサイド],I will decide where to go for vacation soon.,休暇の行き先をすぐに決めます。
353,ＮＨ,２年,89-90,select,動詞,…を選ぶ,[セレクト],Please select your preferred option from the list.,リストから希望のオプションを選んでください。
354,ＮＨ,２年,89-90,natural,形容詞,自然の,[ナチュラル],The park has a natural beauty that attracts visitors.,その公園は自然の美しさで訪問者を魅了しています。
355,ＮＨ,２年,89-90,cultural,形容詞,文化の,[カルチュラル],The museum showcases cultural artifacts from around the world.,その博物館は世界中の文化的な遺物を展示しています。
356,ＮＨ,２年,89-90,mixed,形容詞,混合した,[ミクスト],The town is known for its mixed culture of local traditions and modern influences.,その町は地元の伝統と現代的な影響が混ざった文化で知られています。
357,ＮＨ,２年,89-90,general,形容詞,一般的な、総合的な,[ジェネラル],"In general, people are very friendly here.",一般的に、この地域の人々はとても親切です。
358,ＮＨ,２年,91,hometown,名詞,故郷,[ホームタウン],My hometown is a small village near the mountains.,私の故郷は山の近くの小さな村です。
359,ＮＨ,２年,91,region,名詞,地方、地域,[リージョン],The region has a rich history and beautiful landscapes.,その地域は豊かな歴史と美しい風景があります。
360,ＮＨ,２年,91,plant,名詞,植物,[プラント],We saw a rare plant during our hike in the forest.,私たちは森の中で珍しい植物を見ました。
361,ＮＨ,２年,91,diversity,名詞,（…の）多様性、相違（点）,[ダイバーシティ],Biodiversity is important for the health of ecosystems.,生物多様性は生態系の健康にとって重要です。
362,ＮＨ,２年,91,species,名詞,（生物学上の）種,[スピーシーズ],There are many endangered species in the rainforest.,熱帯雨林には多くの絶滅危惧種がいます。
363,ＮＨ,２年,91,fantastic,形容詞,すばらしい、すてきな,[ファンタスティック],The view from the mountain was fantastic.,山からの景色は素晴らしかったです。
364,ＮＨ,２年,91,floral,形容詞,花の,[フローラル],The floral designs in the garden were breathtaking.,庭の花のデザインは圧巻でした。
365,ＮＨ,２年,91,known,動詞,know の過去分詞,[ノウン],The city is known for its ancient temples and vibrant festivals.,その都市は古代の寺院と活気ある祭りで知られています。
366,ＮＨ,２年,92-93,emperor,名詞,皇帝,[エンペラー],The emperor ruled the country for many years.,天皇は長年国を治めていました。
367,ＮＨ,２年,92-93,wife,名詞,妻,[ワイフ],The emperor's wife was known for her wisdom and kindness.,天皇の妻は知恵と優しさで知られていました。
368,ＮＨ,２年,92-93,architecture,名詞,建築、建築学,[アーキテクチャ],The architecture of the building is truly magnificent.,その建物の建築は本当に素晴らしいです。
369,ＮＨ,２年,92-93,marble,名詞,大理石,[マーブル],The sculpture was made of marble and gold.,その彫刻は大理石と金で作られていました。
370,ＮＨ,２年,92-93,jewel,名詞,宝石,[ジュエル],The necklace was a beautiful jewel passed down for generations.,そのネックレスは何世代にもわたって受け継がれた美しい宝石です。
371,ＮＨ,２年,92-93,material,名詞,原料、材料,[マテリアル],This fabric is made of a special material that is very durable.,この布は非常に耐久性のある特別な素材で作られています。
372,ＮＨ,２年,92-93,pollution,名詞,汚染、汚れ,[ポリューション],The pollution in the city is becoming a serious issue.,都市の汚染は深刻な問題となっています。
373,ＮＨ,２年,92-93,government,名詞,政府,[ガヴァメント],The government is working to improve the country's economy.,政府は国の経済を改善するために取り組んでいます。
374,ＮＨ,２年,92-93,cover,動詞,…をおおう、包む,[カヴァー],The magazine covers a wide range of topics.,その雑誌は幅広いトピックを扱っています。
375,ＮＨ,２年,92-93,protect,動詞,…を守る、保護する,[プロテクト],We must protect the environment for future generations.,私たちは未来の世代のために環境を守らなければなりません。
376,ＮＨ,２年,92-93,built,動詞,build の過去形,[ビルト],The Great Wall of China was built over several centuries.,万里の長城は何世代にもわたって建設されました。
377,ＮＨ,２年,92-93,in memory of,,…を記念して,[イン メモリー オブ],The monument was built in memory of the fallen soldiers.,その記念碑は戦死した兵士たちを追悼するために建てられました。
378,ＮＨ,２年,92-93,because of,,…のために,[ビコーズ オブ],"Because of the rain, the event was postponed.",雨のため、そのイベントは延期されました。
379,ＮＨ,２年,94-95,tourist,名詞,観光客、旅行者,[ツーリスト],The city attracts many tourist every year.,その都市は毎年多くの観光客を引き寄せています。
380,ＮＨ,２年,94-95,sunrise,名詞,日の出,[サンライズ],We woke up early to see the sunrise from the mountain top.,私たちは山頂から日の出を見るために早起きしました。
381,ＮＨ,２年,94-95,cloud,名詞,雲,[クラウド],The sky was covered with clouds this morning.,今朝は空が雲に覆われていました。
382,ＮＨ,２年,94-95,crater,名詞,噴火口、クレーター,[クレーター],The volcano erupted and left a massive crater.,その火山は噴火し、巨大なクレーターを残しました。
383,ＮＨ,２年,94-95,amount,名詞,量、額,[アマウント],The amount of water in the lake has decreased.,湖の水の量は減少しています。
384,ＮＨ,２年,94-95,trail,名詞,（通ってできた）小道,[トレイル],"The hiking trail is easy to follow, but it can be quite steep.",そのハイキングコースは簡単にたどることができますが、かなり急です。
385,ＮＨ,２年,94-95,cleanup,名詞,大そうじ,[クリーンアップ],The cleanup of the beach was completed yesterday.,そのビーチの清掃は昨日完了しました。
386,ＮＨ,２年,94-95,campaign,名詞,キャンペーン,[キャンペーン],They started a campaign to reduce plastic waste.,彼らはプラスチック廃棄物を減らすキャンペーンを始めました。
387,ＮＨ,２年,94-95,climb,動詞,…に[を]のぼる,[クライム],We climbed to the top of the mountain and enjoyed the view.,私たちは山の頂上まで登り、景色を楽しみました。
388,ＮＨ,２年,94-95,list,名詞,…を載せる,[リスト],Please add your name to the list of participants.,参加者リストに名前を追加してください。
389,ＮＨ,２年,94-95,recently,副詞,最近、近ごろ,[リセントリー],I recently moved to a new city.,私は最近新しい都市に引っ越しました。
390,ＮＨ,２年,94-95,forever,副詞,永久に、永遠に,[フォエヴァー],This memory will stay with me forever.,この思い出は永遠に私と共にあります。
391,ＮＨ,２年,94-95,seen,動詞,see の過去分詞,[シーン],I have never seen a movie like that before.,私はあんな映画を見たことがありません。
392,ＮＨ,２年,94-95,more and more,,ますます（多くの）,[モア アンド モア],More and more people are choosing electric cars.,ますます多くの人々が電気自動車を選んでいます。
393,ＮＨ,２年,94-95,a … amount of ～,,…の量の～,[ア マウント オブ],A small amount of sugar is needed for the recipe.,レシピには少量の砂糖が必要です。
394,ＮＨ,２年,97,size,名詞,サイズ、寸法,[サイズ],The size of the house is perfect for a small family.,その家のサイズは小さな家族には完璧です。
395,ＮＨ,２年,97,price,名詞,値段,[プライス],The price of the ticket is $50.,チケットの価格は50ドルです。
396,ＮＨ,２年,97,goods,名詞,商品、品物,[グッズ],They sell all sorts of goods in the market.,市場ではさまざまな商品が販売されています。
397,ＮＨ,２年,97,clerk,名詞,店員、フロント係,[クラーク],The clerk helped me find the right size of shoes.,店員は私に適切なサイズの靴を見つける手助けをしてくれました。
398,ＮＨ,２年,97,customer,名詞,客、顧客,[カスタマー],The customer asked for a refund.,お客様は払い戻しを求めました。
399,ＮＨ,２年,97,medium,形容詞,中くらいの、Mサイズの,[ミディアム],The shirt is available in a medium size.,そのシャツはミディアムサイズで利用可能です。
400,ＮＨ,２年,97,How much …?,,…はいくらですか。,[ハウ マッチ],How much does this book cost?,この本はいくらですか？
401,ＮＨ,２年,100-103,discussion,名詞,討論、話し合い,[ディスカッション],The discussion was about climate change.,その討論は気候変動についてでした。
402,ＮＨ,２年,100-103,tourism,名詞,観光,[ツーリズム],Tourism plays a big role in the economy.,観光は経済に大きな役割を果たしています。
403,ＮＨ,２年,100-103,industry,名詞,産業、工業、…業,[インダストリー],The tourism industry has grown in recent years.,観光業は近年成長しています。
404,ＮＨ,２年,100-103,increase,動詞,増加、…を増やす、増大させる,[インクリース],There has been an increase in the number of tourists.,観光客の数は増加しています。
405,ＮＨ,２年,100-103,traffic jam,,交通渋滞,[トラフィック ジャム],We were stuck in a traffic jam for an hour.,私たちは1時間も渋滞に巻き込まれました。
406,ＮＨ,２年,100-103,environment,名詞,環境,[エンヴァイロメント],We must protect the environment for future generations.,私たちは未来の世代のために環境を守らなければなりません。
407,ＮＨ,２年,100-103,value,名詞,価値,[バリュー],The value of the house has gone up.,その家の価値は上がりました。
408,ＮＨ,２年,100-103,crime,名詞,罪、犯罪,[クライム],Crime rates have decreased in the city.,都市での犯罪率は減少しました。
409,ＮＨ,２年,100-103,develop,動詞,…を発達させる,[ディベロップ],We need to develop new technologies to improve healthcare.,私たちは医療を改善するために新しい技術を開発する必要があります。
410,ＮＨ,２年,100-103,agree,動詞,賛成する,[アグリー],I agree with your opinion on the matter.,私はその問題についてあなたの意見に同意します。
411,ＮＨ,２年,100-103,cause,動詞,…の原因となる、…をひき起こす,[コーズ],What could have caused this problem?,この問題を引き起こした原因は何でしょうか？
412,ＮＨ,２年,100-103,pollute,動詞,（水・空気など）を汚す、汚染する,[ポリュート],Factories pollute the air if not properly managed.,工場は適切に管理されていないと空気を汚染します。
413,ＮＨ,２年,100-103,review,動詞,…を見直す,[レビュー],Please review the report before the meeting.,会議の前に報告書を見直してください。
414,ＮＨ,２年,100-103,destroy,動詞,…を破壊する,[デストロイ],The fire destroyed the building completely.,その火事で建物は完全に破壊されました。
415,ＮＨ,２年,100-103,attract,動詞,（人）をひきつける,[アトラクト],The new restaurant will attract many customers.,新しいレストランは多くの顧客を引き寄せるでしょう。
416,ＮＨ,２年,100-103,concern,動詞,(人）を心配させる,[コンセーン],There is a concern about the rising cost of living.,生活費の上昇について懸念があります。
417,ＮＨ,２年,100-103,possible,形容詞,（物事が）可能な、できる,[ポッシブル],It is possible to solve this problem with cooperation.,協力すればこの問題は解決可能です。
418,ＮＨ,２年,100-103,therefore,副詞,それゆえに、したがって,[ゼアフォー],"He worked hard, therefore he succeeded.",彼は一生懸命働いたので、成功しました。
419,ＮＨ,２年,100-103,against,前置詞,…に反対して,[アゲインスト],She is against the idea of moving to another city.,彼女は別の都市に引っ越すという考えに反対しています。
420,ＮＨ,２年,100-103,chosen,動詞,choose の過去分詞,[チョーズン],The project was chosen because it was the most feasible.,そのプロジェクトは最も実現可能だったため選ばれました。
421,ＮＨ,２年,100-103,due to,,…のために、…が原因で,[デュー トゥ],The delay was due to heavy traffic.,遅れは交通渋滞が原因でした。
422,ＮＨ,２年,104-105,middle,名詞,中央、真ん中,[ミドル],They live in the middle of the city.,彼らは都市の中心に住んでいます。
423,ＮＨ,２年,104-105,dream,名詞,夢,[ドリーム],It is his dream to become a professional artist.,彼の夢はプロのアーティストになることです。
424,ＮＨ,２年,104-105,tradition,名詞,伝統,[トラディション],The tradition of the festival has been passed down for generations.,その祭りの伝統は何世代にもわたって受け継がれています。
425,ＮＨ,２年,104-105,part,名詞,部分,[パート],The park is a part of the city's green space.,その公園は都市の緑地の一部です。
426,ＮＨ,２年,104-105,planet,名詞,惑星,[プラネット],The Earth is the only planet known to support life.,地球は生命を支えることが知られている唯一の惑星です。
427,ＮＨ,２年,104-105,photograph,名詞,写真,[フォトグラフ],She took a photograph of the sunset.,彼女は日の入りの写真を撮りました。
428,ＮＨ,２年,104-105,university,名詞,大学,[ユニバーシティ],He is studying at the university to become a doctor.,彼は医者になるために大学で勉強しています。
429,ＮＨ,２年,104-105,convenience,名詞,便利なこと[もの],[コンビニエンス],"For your convenience, the store is open 24 hours.",便利なことに、その店は24時間営業です。
430,ＮＨ,２年,104-105,invite,動詞,…を招待する、招く,[インヴァイト],I would like to invite you to my birthday party.,私はあなたを誕生日パーティーに招待したいです。
431,ＮＨ,２年,104-105,share,動詞,…を共有する,[シェア],She is always happy to share her ideas with others.,彼女は他の人とアイデアを共有するのが大好きです。
432,ＮＨ,２年,104-105,gather,動詞,…を集める、…をつむ,[ギャザー],We gathered in the park for the picnic.,私たちは公園でピクニックのために集まりました。
433,ＮＨ,２年,104-105,attracted,形容詞,ひきつけられる,[アトラクト],The idea of traveling abroad has attracted many students.,海外旅行のアイデアは多くの学生を引き寄せました。
434,ＮＨ,２年,104-105,true,形容詞,本当の、真実の,[トゥルー],Is it true that you are moving to another city?,あなたが別の都市に引っ越すのは本当ですか？
435,ＮＨ,２年,104-105,among,前置詞,…の中で、…の間で,[アモング],"Among the many options, she chose the most practical one.",多くの選択肢の中で、彼女は最も実用的なものを選びました。
436,ＮＨ,２年,104-105,understood,動詞,understand の過去形,[アンダーストッド],He understood the problem and came up with a solution.,彼はその問題を理解し、解決策を思いつきました。
437,ＮＨ,２年,104-105,became,動詞,become の過去形,[ビケイム],She became a famous singer after winning the competition.,彼女はコンペティションに勝った後、有名な歌手になりました。
438,ＮＨ,２年,104-105,in the middle of,,…の真ん中に[の],[イン ザ ミドル オブ],We are in the middle of a busy week.,私たちは忙しい週の真ん中にいます。
439,ＮＨ,２年,104-105,for himself,,自分で、独力で,[フォー ヒムセルフ],"He decided to do it for himself, not for others.",彼は他の人のためではなく、自分のためにそれをすることに決めました。
440,ＮＨ,２年,104-105,come true,,実現する、本当になる,[カム トゥルー],Her dream of traveling the world came true.,彼女の世界旅行の夢は実現しました。
441,ＮＨ,２年,106-108,island,名詞,島,[アイランド],They are planning a vacation on a tropical island.,彼らは熱帯の島で休暇を計画しています。
442,ＮＨ,２年,106-108,Earth,名詞,地球,[アース],The Earth orbits the Sun.,地球は太陽の周りを回っています。
443,ＮＨ,２年,106-108,past,名詞,過去,[パスト],"In the past, communication was slower and more difficult.",過去には、コミュニケーションは遅くて難しかったです。
444,ＮＨ,２年,106-108,freedom,名詞,自由,[フリーダム],Freedom of speech is a fundamental right.,言論の自由は基本的な権利です。
445,ＮＨ,２年,106-108,global warming,,地球温暖化,[グローバル ウォーミング],Global warming is a major environmental issue.,地球温暖化は大きな環境問題です。
446,ＮＨ,２年,106-108,return,動詞,帰る、戻る,[リターン],She will return to her home country after studying abroad.,彼女は留学後、自国に戻ります。
447,ＮＨ,２年,106-108,camp,名詞,キャンプをする,[キャンプ],We are going to camp in the forest this weekend.,私たちは今週末に森でキャンプをする予定です。
448,ＮＨ,２年,106-108,grow,動詞,…になる,[グロー],The plant began to grow after a few days.,その植物は数日後に成長を始めました。
449,ＮＨ,２年,106-108,lose,動詞,…を失う,[ロース],I lost my wallet on the way home.,私は家に帰る途中で財布を失いました。
450,ＮＨ,２年,106-108,pass,動詞,（～に）…を手渡す、…を伝える,[パス],She passed the exam with flying colors.,彼女は試験に見事に合格しました。
451,ＮＨ,２年,106-108,disappear,動詞,姿を消す、消滅する,[ディサピア],The sun disappeared behind the clouds.,太陽は雲の後ろに消えました。
452,ＮＨ,２年,106-108,enough,副詞,十分な、必要なだけの,[イナフ],We have enough food for the party.,私たちはパーティーのために十分な食べ物があります。
453,ＮＨ,２年,106-108,slowly,副詞,ゆっくりと、遅く,[スローリー],The turtle moved slowly across the sand.,カメは砂の上をゆっくりと移動しました。
454,ＮＨ,２年,106-108,twice,名詞,２倍、２度,[トゥワイス],I've been there twice this year.,私は今年二回そこに行きました。
455,ＮＨ,２年,106-108,suddenly,副詞,突然、急に,[サドンリー],"Suddenly, it started to rain heavily.",突然、激しく雨が降り始めました。
456,ＮＨ,２年,106-108,turn into,,…になる、変わる,[ターン イントゥ],The caterpillar will turn into a butterfly.,その毛虫は蝶に変わります。
457,ＮＨ,２年,106-108,twice as … as ～,,～より２倍…,[トゥワイス アズ アズ],This car is twice as fast as that one.,この車はあの車の二倍速いです。
458,ＮＨ,２年,106-108,remind … of ～,,…に～を思い出させる,[リマインド オブ],This song reminds me of my childhood.,この歌は私の子供時代を思い出させます。
459,ＮＨ,２年,106-108,pass on … to ～,,…を～に伝える,[パス オン トゥ],I will pass on your message to her.,私はあなたのメッセージを彼女に伝えます。
1,ＮＨ,３年,6-7,side,名詞,側、面,[サイド],Side is important in a debate.,討論では立場（サイド）が重要です。
2,ＮＨ,３年,6-7,musical,名詞,ミュージカル,[ミュージカル],I like watching a musical.,私はミュージカルを見るのが好きです。
3,ＮＨ,３年,6-7,actor,名詞,俳優,[アクター],The actor smiled on the stage.,その俳優はステージで微笑みました。
4,ＮＨ,３年,6-7,discover,動詞,…を発見する,[ディスカヴァー],I want to discover new places.,私は新しい場所を発見したいです。
5,ＮＨ,３年,6-7,finally,副詞,ついに、やっと,[ファイナリー],"Finally, we arrived at the hotel.",ついに私たちはホテルに到着しました。
6,ＮＨ,３年,9-10,fashion,名詞,人気のもの、ファッション,[ファッション],She loves fashion magazines.,彼女はファッション雑誌が大好きです。
7,ＮＨ,３年,9-10,been,動詞,be の過去分詞,[ビーン],He has been my friend for years.,彼は何年も私の友人です。
8,ＮＨ,３年,9-10,regional,形容詞,地方の、地域の,[リージョナル],The regional food is delicious.,地域料理は美味しいです。
9,ＮＨ,３年,9-10,have never[not] been to,,…に行ったことがない,[ハヴ ネヴァー[ノット] ビーン トゥ],I have never been to Paris.,私はパリに行ったことがありません。
10,ＮＨ,３年,11,foreigner,名詞,外国人,[フォーリナー],A foreigner asked me for directions.,外国人が道を尋ねてきました。
11,ＮＨ,３年,11,ever,副詞,[疑問文で]今まで,[エヴァー],Have you ever seen a lion?,ライオンを見たことがありますか？
12,ＮＨ,３年,11,I've,,I have の短縮形,[アイヴ],I've visited London twice.,私はロンドンを2回訪れました。
13,ＮＨ,３年,11,haven't,,have not の短縮形,[ハヴント],I haven't finished my homework.,私は宿題を終えていません。
14,ＮＨ,３年,11,have been to,,…に行ったことがある,[ハヴ ビーン トゥ],I have been to New York once.,私は一度ニューヨークに行ったことがあります。
15,ＮＨ,３年,12-13,genre,名詞,ジャンル、部門,[ジャンル],I like every genre of music.,私はすべての音楽ジャンルが好きです。
16,ＮＨ,３年,12-13,adventure,名詞,冒険、冒険心,[アドベンチャー],The movie was full of adventure.,その映画は冒険に満ちていました。
17,ＮＨ,３年,12-13,adult,名詞,おとな、成人,[アダルト],This book is for adult readers.,この本は大人向けです。
18,ＮＨ,３年,12-13,quality,名詞,質、品質,[クオリティ],This shop sells high-quality bags.,この店は高品質なバッグを売っています。
19,ＮＨ,３年,12-13,animation,名詞,アニメーション,[アニメーション],I enjoy watching animation.,私はアニメーションを見るのが好きです。
20,ＮＨ,３年,12-13,drawing,名詞,絵、図,[ドローイング],She is good at drawing animals.,彼女は動物を描くのが得意です。
21,ＮＨ,３年,12-13,addition,名詞,足し算、加えること,[アディション],"In addition, we will visit the museum.",さらに、私たちは博物館を訪れる予定です。
22,ＮＨ,３年,12-13,match,名詞,…と調和する,[マッチ],This shirt is a perfect match for you.,このシャツはあなたにぴったり合います。
23,ＮＨ,３年,12-13,global,形容詞,全世界の、世界的な,[グローバル],We live in a global society.,私たちはグローバルな社会に生きています。
24,ＮＨ,３年,12-13,delicate,形容詞,上品な、優美な,[デリケート],This flower is very delicate.,この花はとても繊細です。
25,ＮＨ,３年,12-13,positive,形容詞,肯定の、前向きな,[ポジティブ],She gave me a positive answer.,彼女は私に前向きな返事をくれました。
26,ＮＨ,３年,12-13,in addition,,そのうえ、さらに,[イン アディション],"In addition, we bought some souvenirs.",さらに、お土産も買いました。
27,ＮＨ,３年,14-16,existence,名詞,存在すること、生存,[エグジステンス],We cannot deny the existence of air.,空気の存在を否定できません。
28,ＮＨ,３年,14-16,root,名詞,（複数形で）起源,[ルート],The root of the tree is deep.,その木の根は深いです。
29,ＮＨ,３年,14-16,movement,名詞,動き,[ムーブメント],There is a new art movement.,新しい芸術運動があります。
30,ＮＨ,３年,14-16,scroll,名詞,巻物、掛け軸,[スクロール],Scroll down to see more.,もっと見るにはスクロールしてください。
31,ＮＨ,３年,14-16,technique,名詞,手法、テクニック,[テクニック],He learned a new painting technique.,彼は新しい絵画技法を学びました。
32,ＮＨ,３年,14-16,advantage,名詞,有利、強み,[アドバンテージ],This is a big advantage for us.,これは私たちにとって大きな利点です。
33,ＮＨ,３年,14-16,taste,名詞,味、味覚,[テイスト],This soup has a strange taste.,このスープは変わった味がします。
34,ＮＨ,３年,14-16,ignore,動詞,…を無視する,[イグノア],Do not ignore the problem.,問題を無視しないでください。
